,Date,Hashrate_Price_Multiple
0,2020-02-13,109742275.189
1,2020-02-12,114190850.876
2,2020-02-11,93796521.68100001
3,2020-02-10,117630064.075
4,2020-02-09,106866528.8
5,2020-02-08,106866528.8
6,2020-02-07,103791233.00799999
7,2020-02-06,122243007.765
8,2020-02-05,101484761.16299999
9,2020-02-04,113785944.33399999
10,2020-02-03,109941824.593
11,2020-02-02,116092416.17899999
12,2020-02-01,110710648.54200001
13,2020-01-31,119936535.92
14,2020-01-30,123011831.713
15,2020-01-29,107321517.017
16,2020-01-28,94755300.6506
17,2020-01-27,105038821.65100001
18,2020-01-26,120464103.153
19,2020-01-25,111649656.581
20,2020-01-24,116791417.081
21,2020-01-23,114587805.438
22,2020-01-22,112384193.795
23,2020-01-21,111649656.581
24,2020-01-20,110180582.15200001
25,2020-01-19,96958912.2936
26,2020-01-18,116791417.081
27,2020-01-17,116791417.081
28,2020-01-16,110915119.366
29,2020-01-15,99607271.22
30,2020-01-14,98089600.8416
31,2020-01-13,103577130.95899999
32,2020-01-12,111808426.134
33,2020-01-11,102205248.42899999
34,2020-01-10,107692778.546
35,2020-01-09,97403659.577
36,2020-01-08,120725662.574
37,2020-01-07,92602070.7246
38,2020-01-06,111808426.134
39,2020-01-05,115238132.457
40,2020-01-04,115924073.722
41,2020-01-03,96717718.3124
42,2020-01-02,112718458.53299999
43,2020-01-01,93333320.1906
44,2019-12-31,106850559.66600001
45,2019-12-30,99770100.8933
46,2019-12-29,95908032.4717
47,2019-12-28,93333320.1906
48,2019-12-27,107494237.737
49,2019-12-26,82390792.9958
50,2019-12-25,80459758.785
51,2019-12-24,92045964.05
52,2019-12-23,108781593.877
53,2019-12-22,113287340.369
54,2019-12-21,100413778.964
55,2019-12-20,100622310.115
56,2019-12-19,85774913.1623
57,2019-12-18,90255692.2081
58,2019-12-17,100497472.884
59,2019-12-16,79373800.2398
60,2019-12-15,96656805.1307
61,2019-12-14,97296916.423
62,2019-12-13,85134801.8701
63,2019-12-12,84494690.5778
64,2019-12-11,94736471.2539
65,2019-12-10,94736471.2539
66,2019-12-09,94736471.2539
67,2019-12-08,99217250.2997
68,2019-12-07,92816137.3772
69,2019-12-06,93386357.498
70,2019-12-05,107698810.68200001
71,2019-12-04,101894683.161
72,2019-12-03,93510943.4068
73,2019-12-02,89641525.0589
74,2019-12-01,81257785.3052
75,2019-11-30,87706815.885
76,2019-11-29,105119198.45
77,2019-11-28,89641525.0589
78,2019-11-27,78678173.0733
79,2019-11-26,80612882.2472
80,2019-11-25,84482300.5951
81,2019-11-24,111568229.03
82,2019-11-23,85127203.6531
83,2019-11-22,87143254.9642
84,2019-11-21,89788714.5976
85,2019-11-20,92950289.0553
86,2019-11-19,88524084.8145
87,2019-11-18,97376493.296
88,2019-11-17,93582603.9468
89,2019-11-16,99905752.8621
90,2019-11-15,106861216.669
91,2019-11-14,85362510.3569
92,2019-11-13,85362510.3569
93,2019-11-12,95479548.6214
94,2019-11-11,104964271.994
95,2019-11-10,91053344.3807
96,2019-11-09,80936306.1161
97,2019-11-08,91737090.3691
98,2019-11-07,89840145.6945
99,2019-11-06,98007431.6667
100,2019-11-05,89840145.6945
101,2019-11-04,93923788.6806
102,2019-11-03,91201360.0232
103,2019-11-02,88478931.3658
104,2019-11-01,89840145.6945
105,2019-10-31,91201360.0232
106,2019-10-30,90520752.8588
107,2019-10-29,91201360.0232
108,2019-10-28,78269823.9005
109,2019-10-27,95285003.0093
110,2019-10-26,93923788.6806
111,2019-10-25,90520752.8588
112,2019-10-24,109144376.317
113,2019-10-23,109281440.75799999
114,2019-10-22,102815083.317
115,2019-10-21,94408818.6433
116,2019-10-20,91822275.6668
117,2019-10-19,103461719.061
118,2019-10-18,96995361.6198
119,2019-10-17,92468911.4109
120,2019-10-16,98935268.8522
121,2019-10-15,87295825.4578
122,2019-10-14,91822275.6668
123,2019-10-13,86002553.9696
124,2019-10-12,100875176.085
125,2019-10-11,103681264.293
126,2019-10-10,87532580.6966
127,2019-10-09,102755638.20899999
128,2019-10-08,98315579.7679
129,2019-10-07,94509815.3898
130,2019-10-06,100218461.957
131,2019-10-05,93241227.2637
132,2019-10-04,93241227.2637
133,2019-10-03,93875521.3267
134,2019-10-02,90704051.0117
135,2019-10-01,82458228.1924
136,2019-09-30,86263992.5705
137,2019-09-29,100852756.02
138,2019-09-28,83726816.3184
139,2019-09-27,102155715.06799999
140,2019-09-26,92209210.3075
141,2019-09-25,92800294.989
142,2019-09-24,67383653.6863
143,2019-09-23,98120057.1221
144,2019-09-22,98120057.1221
145,2019-09-21,89253786.9002
146,2019-09-20,87480532.8559
147,2019-09-19,102848734.574
148,2019-09-18,87480532.8559
149,2019-09-17,96346803.0777
150,2019-09-16,86889448.1744
151,2019-09-15,91618125.6261
152,2019-09-14,81711974.3616
153,2019-09-13,84605659.659
154,2019-09-12,98528109.9826
155,2019-09-11,97457152.2654
156,2019-09-10,78179913.3557
157,2019-09-09,94779757.9724
