,Date,Mining Revenue
0,2020-02-13,18763378.485999998
1,2020-02-12,19051941.2101
2,2020-02-11,15671545.1161
3,2020-02-10,19747647.2564
4,2020-02-09,17511947.9489
5,2020-02-08,17296713.6149
6,2020-02-07,17105098.5956
7,2020-02-06,19130672.8183
8,2020-02-05,15415016.3633
9,2020-02-04,17467129.7546
10,2020-02-03,16944231.5939
11,2020-02-02,17858163.3183
12,2020-02-01,17040641.8641
13,2020-01-31,18922276.3946
14,2020-01-30,18887556.2843
15,2020-01-29,16242549.0084
16,2020-01-28,14226813.8665
17,2020-01-27,15373871.8528
18,2020-01-26,17146239.2657
19,2020-01-25,16478219.0489
20,2020-01-24,17169132.3179
21,2020-01-23,17310387.5912
22,2020-01-22,16708344.2414
23,2020-01-21,16034934.2929
24,2020-01-20,16961771.1248
25,2020-01-19,14834325.076
26,2020-01-18,17783148.0201
27,2020-01-17,17478168.6365
28,2020-01-16,16792710.0749
29,2020-01-15,15748081.3734
30,2020-01-14,14633330.0814
31,2020-01-13,15625350.6675
32,2020-01-12,16893865.3907
33,2020-01-11,15541380.5657
34,2020-01-10,15730239.7133
35,2020-01-09,14890476.7245
36,2020-01-08,17646229.3032
37,2020-01-07,13051403.0811
38,2020-01-06,15404396.6232
39,2020-01-05,15650931.3943
40,2020-01-04,15705586.4712
41,2020-01-03,12576131.2233
42,2020-01-02,15907075.7859
43,2020-01-01,13152944.2201
44,2019-12-31,15446347.0361
45,2019-12-30,14317659.0176
46,2019-12-29,13698700.7384
47,2019-12-28,13514433.1871
48,2019-12-27,15752637.6111
49,2019-12-26,11634910.2864
50,2019-12-25,11525831.9085
51,2019-12-24,13758030.7646
52,2019-12-23,15337832.9735
53,2019-12-22,15844785.3183
54,2019-12-21,14124384.4575
55,2019-12-20,14591652.0229
56,2019-12-19,11695182.7772
57,2019-12-18,12121833.9541
58,2019-12-17,14132643.7105
59,2019-12-16,11126047.873
60,2019-12-15,13824044.9576
61,2019-12-14,14060284.465999998
62,2019-12-13,12076200.2025
63,2019-12-12,12062018.8329
64,2019-12-11,13646564.1054
65,2019-12-10,13970881.9665
66,2019-12-09,13969510.4009
67,2019-12-08,15286888.4929
68,2019-12-07,13603961.7471
69,2019-12-06,13451289.4192
70,2019-12-05,15591131.4045
71,2019-12-04,14637722.1146
72,2019-12-03,13446041.6564
73,2019-12-02,12925726.3723
74,2019-12-01,12281980.5702
75,2019-11-30,14142605.4886
76,2019-11-29,15917751.9149
77,2019-11-28,12848987.4919
78,2019-11-27,11167150.5679
79,2019-11-26,11205569.8206
80,2019-11-25,11832812.5765
81,2019-11-24,16178363.0347
82,2019-11-23,12538677.9777
83,2019-11-22,13715760.9452
84,2019-11-21,14807093.0674
85,2019-11-20,15599060.2594
86,2019-11-19,14963381.5186
87,2019-11-18,16582477.299
88,2019-11-17,15864379.2041
89,2019-11-16,17351278.9708
90,2019-11-15,18779474.7376
91,2019-11-14,15067619.9304
92,2019-11-13,14989182.4022
93,2019-11-12,16881322.7129
94,2019-11-11,18896479.0289
95,2019-11-10,16111246.6163
96,2019-11-09,14762408.0374
97,2019-11-08,15970955.4357
98,2019-11-07,15769410.0134
99,2019-11-06,17451427.0961
100,2019-11-05,15941423.7727
101,2019-11-04,16402669.8083
102,2019-11-03,16052149.3646
103,2019-11-02,15476389.7763
104,2019-11-01,15460313.8029
105,2019-10-31,15935289.7345
106,2019-10-30,15907595.3937
107,2019-10-29,16254462.7223
108,2019-10-28,13879519.9511
109,2019-10-27,16769057.917000001
110,2019-10-26,13909079.2687
111,2019-10-25,12594197.4342
112,2019-10-24,17079475.3941
113,2019-10-23,17496598.3544
114,2019-10-22,16722180.4358
115,2019-10-21,14984777.0324
116,2019-10-20,14484979.8988
117,2019-10-19,16329289.2153
118,2019-10-18,15858419.077
119,2019-10-17,14633533.2162
120,2019-10-16,16240085.9584
121,2019-10-15,14628224.1899
122,2019-10-14,15185999.1607
123,2019-10-13,14021139.9222
124,2019-10-12,17060812.1042
125,2019-10-11,17831123.6788
126,2019-10-10,14626389.9734
127,2019-10-09,17060959.4496
128,2019-10-08,15743886.0121
129,2019-10-07,15379216.33
130,2019-10-06,16377861.1718
131,2019-10-05,15198779.2
132,2019-10-04,15446657.0072
133,2019-10-03,15983802.945999999
134,2019-10-02,15347785.3282
135,2019-10-01,13436667.5184
136,2019-09-30,14292283.4734
137,2019-09-29,16399123.5708
138,2019-09-28,13731933.7325
139,2019-09-27,18142040.4351
140,2019-09-26,17222704.4026
141,2019-09-25,19220354.7855
142,2019-09-24,14647183.7982
143,2019-09-23,21169975.5686
144,2019-09-22,21079948.1168
145,2019-09-21,19539823.5859
146,2019-09-20,19373703.7113
147,2019-09-19,22533478.527
148,2019-09-18,19262723.3651
149,2019-09-17,21460937.0915
150,2019-09-16,19411747.0474
151,2019-09-15,20523303.2794
152,2019-09-14,19643241.8545
153,2019-09-13,20481339.8622
154,2019-09-12,23997270.4992
155,2019-09-11,23662199.3205
156,2019-09-10,19160369.4909
157,2019-09-09,23644815.6797
158,2019-09-08,20094042.8607
159,2019-09-07,21464687.5948
160,2019-09-06,22456931.6286
161,2019-09-05,18375693.8378
162,2019-09-04,22232234.9654
163,2019-09-03,19567794.8424
164,2019-09-02,17386554.1806
165,2019-09-01,20380765.5465
166,2019-08-31,19625872.0326
167,2019-08-30,20199158.8493
168,2019-08-29,19285143.4358
169,2019-08-28,17790117.8193
170,2019-08-27,18051599.1536
171,2019-08-26,20023054.221
172,2019-08-25,20913191.1542
173,2019-08-24,20303216.6175
174,2019-08-23,18244786.7421
175,2019-08-22,18133519.9256
176,2019-08-21,21381940.8221
177,2019-08-20,22512416.2143
178,2019-08-19,16497323.4009
179,2019-08-18,16818757.3806
180,2019-08-17,20175209.2411
181,2019-08-16,20403806.3046
182,2019-08-15,20751478.0271
183,2019-08-14,23339417.3416
184,2019-08-13,19835024.1828
185,2019-08-12,22402406.2329
186,2019-08-11,22285954.366
187,2019-08-10,22823177.0108
