Date,snp_Open,snp_High,snp_Low,snp_Close,snp_Volume,snp_ohlc,snp_returns
1789-05-01,0.51,0.51,0.51,0.51,,0.51,1.0
1789-06-01,0.51,0.51,0.51,0.51,,0.51,1.0
1789-07-01,0.5,0.5,0.5,0.5,,0.5,0.9803921568627451
1789-08-01,0.5,0.51,0.5,0.51,,0.505,1.02
1789-09-01,0.51,0.51,0.5,0.51,,0.5075000000000001,1.0
1789-10-01,0.51,0.51,0.51,0.51,,0.51,1.0
1789-11-01,0.51,0.51,0.5,0.5,,0.505,0.9803921568627451
1789-12-01,0.5,0.5,0.5,0.5,,0.5,1.0
1790-01-01,0.5,0.5,0.49,0.49,,0.495,0.98
1790-02-01,0.49,0.49,0.49,0.49,,0.49,1.0
1790-03-01,0.49,0.51,0.49,0.5,,0.4975,1.0204081632653061
1790-04-01,0.5,0.5,0.49,0.5,,0.4975,1.0
1790-05-01,0.51,0.52,0.51,0.52,,0.515,1.04
1790-06-01,0.52,0.53,0.52,0.53,,0.525,1.0192307692307692
1790-07-01,0.53,0.53,0.53,0.53,,0.53,1.0
1790-08-01,0.53,0.54,0.53,0.54,,0.535,1.0188679245283019
1790-09-01,0.54,0.55,0.54,0.55,,0.545,1.0185185185185186
1790-10-01,0.55,0.57,0.55,0.56,,0.5575000000000001,1.0181818181818183
1790-11-01,0.56,0.57,0.55,0.55,,0.5575000000000001,0.9821428571428571
1790-12-01,0.57,0.57,0.57,0.57,,0.57,1.0363636363636362
1791-01-01,0.57,0.58,0.57,0.58,,0.575,1.0175438596491229
1791-02-01,0.58,0.59,0.58,0.59,,0.585,1.0172413793103448
1791-03-01,0.59,0.59,0.59,0.59,,0.59,1.0
1791-04-01,0.6,0.6,0.6,0.6,,0.6,1.0169491525423728
1791-05-01,0.6,0.6,0.6,0.6,,0.6,1.0
1791-06-01,0.6,0.6,0.6,0.6,,0.6,1.0
1791-07-01,0.6,0.6,0.6,0.6,,0.6,1.0
1791-08-01,0.6,0.61,0.6,0.61,,0.605,1.0166666666666666
1791-09-01,0.61,0.62,0.61,0.62,,0.615,1.0163934426229508
1791-10-01,0.62,0.62,0.62,0.62,,0.62,1.0
1791-11-01,0.62,0.62,0.62,0.62,,0.62,1.0
