Date,DIFF,Hashrate_Price_Multiple,Mining Revenue
2020-03-21,16552923967300.0,89690684.1797,9446456.65791
2020-03-20,16552923967300.0,88044983.5525,7981376.24197
2020-03-19,16552923967300.0,82285031.3575,6941254.7192899985
2020-03-18,16552923967300.0,101210588.57,8477516.5745
2020-03-17,16552923967300.0,97919187.3154,7889846.9406
2020-03-16,16552923967300.0,97919187.3154,8103100.66412
2020-03-15,16552923967300.0,105324840.138,8986521.22611
2020-03-14,16552923967300.0,102856289.197,8634486.981660001
2020-03-13,16552923967300.0,124250397.35,13544827.8769
2020-03-12,16552923967300.0,97919187.3154,11906436.3525
2020-03-11,16552923967300.0,108616241.392,13309094.5286
2020-03-10,16076772598600.0,119877105.098,15003719.0413
2020-03-09,15486913440300.0,121637665.57,17385259.2571
2020-03-08,15486913440300.0,120867806.927,18200369.5805
2020-03-07,15486913440300.0,119328089.641,18084440.7557
2020-03-06,15486913440300.0,125486958.784,18562608.9765
2020-03-05,15486913440300.0,128566393.356,18948989.9695
2020-03-04,15486913440300.0,117788372.356,17037037.2303
2020-03-03,15486913440300.0,114708937.784,16697791.7548
2020-03-02,15486913440300.0,136264979.784,19058740.7027
2020-03-01,15486913440300.0,107010351.356,15277906.3501
2020-02-29,15486913440300.0,121637665.57,17412081.0567
2020-02-28,15486913440300.0,113169220.499,16401715.3341
2020-02-27,15486913440300.0,104700775.427,15629013.681
2020-02-26,15509350562300.0,111020255.745,17822599.4318
2020-02-25,15546745765500.0,108969442.265,17377835.2214
2020-02-24,15546745765500.0,109742275.189,17684305.8236
2020-02-23,15546745765500.0,114379272.732,18051502.9659
2020-02-22,15546745765500.0,119016270.276,18886942.6943
2020-02-21,15546745765500.0,97376948.4073,15368284.874000002
2020-02-20,15546745765500.0,108969442.265,18406770.3413
2020-02-19,15546745765500.0,115924938.58,19007001.528
2020-02-18,15546745765500.0,121334769.047,19823862.1988
2020-02-17,15546745765500.0,109742275.189,17801511.0835
2020-02-16,15546745765500.0,109742275.189,18294966.9415
2020-02-15,15546745765500.0,104332444.722,17892676.3265
2020-02-14,15546745765500.0,108969442.265,18474198.442
2020-02-13,15546745765500.0,109742275.189,18763378.486
2020-02-12,15521134947900.0,114190850.876,19051941.2101
2020-02-11,15466098935600.0,93796521.681,15671545.1161
2020-02-10,15466098935600.0,117630064.075,19747647.2564
2020-02-09,15466098935600.0,106866528.8,17511947.9489
2020-02-08,15466098935600.0,106866528.8,17296713.6149
2020-02-07,15466098935600.0,103791233.008,17105098.5956
2020-02-06,15466098935600.0,122243007.765,19130672.8183
2020-02-05,15466098935600.0,101484761.163,15415016.3633
2020-02-04,15466098935600.0,113785944.334,17467129.7546
2020-02-03,15466098935600.0,109941824.593,16944231.5939
2020-02-02,15466098935600.0,116092416.179,17858163.3183
2020-02-01,15466098935600.0,110710648.542,17040641.8641
2020-01-31,15466098935600.0,119936535.92,18922276.3946
2020-01-30,15466098935600.0,123011831.713,18887556.2843
2020-01-29,15203806713100.0,107321517.017,16242549.0084
2020-01-28,14776367535700.0,94755300.6506,14226813.8665
2020-01-27,14776367535700.0,105038821.651,15373871.8528
2020-01-26,14776367535700.0,120464103.153,17146239.2657
2020-01-25,14776367535700.0,111649656.581,16478219.0489
2020-01-24,14776367535700.0,116791417.081,17169132.3179
2020-01-23,14776367535700.0,114587805.438,17310387.5912
2020-01-22,14776367535700.0,112384193.795,16708344.2414
2020-01-21,14776367535700.0,111649656.581,16034934.2929
2020-01-20,14776367535700.0,110180582.152,16961771.1248
2020-01-19,14776367535700.0,96958912.2936,14834325.076
2020-01-18,14776367535700.0,116791417.081,17783148.0201
2020-01-17,14776367535700.0,116791417.081,17478168.6365
2020-01-16,14776367535700.0,110915119.366,16792710.0749
2020-01-15,13819009697300.0,99607271.22,15748081.3734
2020-01-14,13798783827500.0,98089600.8416,14633330.0814
2020-01-13,13798783827500.0,103577130.959,15625350.6675
2020-01-12,13798783827500.0,111808426.134,16893865.3907
2020-01-11,13798783827500.0,102205248.429,15541380.5657
2020-01-10,13798783827500.0,107692778.546,15730239.7133
2020-01-09,13798783827500.0,97403659.577,14890476.7245
2020-01-08,13798783827500.0,120725662.574,17646229.3032
2020-01-07,13798783827500.0,92602070.7246,13051403.0811
2020-01-06,13798783827500.0,111808426.134,15404396.6232
2020-01-05,13798783827500.0,115238132.457,15650931.3943
2020-01-04,13798783827500.0,115924073.722,15705586.4712
2020-01-03,13798783827500.0,96717718.3124,12576131.2233
2020-01-02,13031658000900.0,112718458.533,15907075.7859
2020-01-01,12948593420900.0,93333320.1906,13152944.2201
2019-12-31,12948593420900.0,106850559.666,15446347.0361
2019-12-30,12948593420900.0,99770100.8933,14317659.0176
2019-12-29,12948593420900.0,95908032.4717,13698700.7384
2019-12-28,12948593420900.0,93333320.1906,13514433.1871
2019-12-27,12948593420900.0,107494237.737,15752637.6111
2019-12-26,12948593420900.0,82390792.9958,11634910.2864
2019-12-25,12948593420900.0,80459758.785,11525831.9085
2019-12-24,12948593420900.0,92045964.05,13758030.7646
2019-12-23,12948593420900.0,108781593.877,15337832.9735
2019-12-22,12948593420900.0,113287340.369,15844785.3183
2019-12-21,12948593420900.0,100413778.964,14124384.4575
2019-12-20,12892837609400.0,100622310.115,14591652.0229
2019-12-19,12876842089700.0,85774913.1623,11695182.7772
2019-12-18,12876842089700.0,90255692.2081,12121833.9541
2019-12-17,12876842089700.0,100497472.884,14132643.7105
2019-12-16,12876842089700.0,79373800.2398,11126047.873
2019-12-15,12876842089700.0,96656805.1307,13824044.9576
2019-12-14,12876842089700.0,97296916.423,14060284.465999998
2019-12-13,12876842089700.0,85134801.8701,12076200.2025
2019-12-12,12876842089700.0,84494690.5778,12062018.8329
2019-12-11,12876842089700.0,94736471.2539,13646564.1054
2019-12-10,12876842089700.0,94736471.2539,13970881.9665
2019-12-09,12876842089700.0,94736471.2539,13969510.4009
2019-12-08,12876842089700.0,99217250.2997,15286888.4929
2019-12-07,12876842089700.0,92816137.3772,13603961.7471
2019-12-06,12955951549100.0,93386357.498,13451289.4192
2019-12-05,12973235968800.0,107698810.682,15591131.4045
2019-12-04,12973235968800.0,101894683.161,14637722.1146
2019-12-03,12973235968800.0,93510943.4068,13446041.6564
2019-12-02,12973235968800.0,89641525.0589,12925726.3723
2019-12-01,12973235968800.0,81257785.3052,12281980.5702
2019-11-30,12973235968800.0,87706815.885,14142605.4886
2019-11-29,12973235968800.0,105119198.45,15917751.9149
2019-11-28,12973235968800.0,89641525.0589,12848987.4919
2019-11-27,12973235968800.0,78678173.0733,11167150.5679
2019-11-26,12973235968800.0,80612882.2472,11205569.8206
2019-11-25,12973235968800.0,84482300.5951,11832812.5765
2019-11-24,12973235968800.0,111568229.03,16178363.0347
2019-11-23,12973235968800.0,85127203.6531,12538677.9777
2019-11-22,12795789637900.0,87143254.9642,13715760.9452
2019-11-21,12720005267400.0,89788714.5976,14807093.0674
2019-11-20,12720005267400.0,92950289.0553,15599060.2594
2019-11-19,12720005267400.0,88524084.8145,14963381.5186
2019-11-18,12720005267400.0,97376493.296,16582477.299
2019-11-17,12720005267400.0,93582603.9468,15864379.2041
2019-11-16,12720005267400.0,99905752.8621,17351278.9708
2019-11-15,12720005267400.0,106861216.669,18779474.7376
2019-11-14,12720005267400.0,85362510.3569,15067619.9304
2019-11-13,12720005267400.0,85362510.3569,14989182.4022
2019-11-12,12720005267400.0,95479548.6214,16881322.7129
2019-11-11,12720005267400.0,104964271.994,18896479.0289
2019-11-10,12720005267400.0,91053344.3807,16111246.6163
2019-11-09,12720005267400.0,80936306.1161,14762408.0374
2019-11-08,13669891710400.0,91737090.3691,15970955.4357
2019-11-07,13691480038700.0,89840145.6945,15769410.0134
2019-11-06,13691480038700.0,98007431.6667,17451427.0961
2019-11-05,13691480038700.0,89840145.6945,15941423.7727
2019-11-04,13691480038700.0,93923788.6806,16402669.8083
2019-11-03,13691480038700.0,91201360.0232,16052149.3646
