,Unnamed: 0,Unnamed: 0.1,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades, taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,upper,middle,lower,Date,ohlc,date,ma_21,ma_21_rate,ma_21_std_center,ma_21_std,EMA_20,mayer_multiple,MA_7,Mining Revenue,Hashrate_Price_Multiple,Bitcoin_Adjusted_Difficulty
0,0,0,2017-08-17 01:00:00,4261.48,4485.39,4200.74,4285.08,795.1503769999999,2017-08-18 00:59:59.999,3454770.05073206,3427,616.248541,2678216.40060401,8733.91139481,,,,2017-08-17,4308.1725,2017-08-17,,,,,4308.1725,,,8320553.0706899995,5966241.41926,923233068448.0
1,1,1,2017-08-18 01:00:00,4285.08,4371.52,3938.77,4108.37,1199.8882640000002,2017-08-19 00:59:59.999,5086958.30617151,5233,972.86871,4129123.31651808,9384.14140858,,,,2017-08-18,4175.935,2017-08-18,,,,,4238.747812500001,,,10849951.0088,8215055.49267,923233068448.0
2,2,2,2017-08-19 01:00:00,4108.37,4184.69,3850.0,4139.98,381.309763,2017-08-20 00:59:59.999,1549483.73542151,2153,274.336042,1118001.87008735,9184.08552906,,,,2017-08-19,4070.7599999999998,2017-08-19,,,,,4177.063694837635,,,8775119.92163,6838230.549769999,923233068448.0
3,3,3,2017-08-20 01:00:00,4120.98,4211.08,4032.62,4086.29,467.08302199999997,2017-08-21 00:59:59.999,1930364.39032646,2321,376.795947,1557401.3337373,10125.41408414,,,,2017-08-20,4112.7425,2017-08-20,,,,,4158.495160380299,,,8768358.087960001,6930018.87929,923233068448.0
4,4,4,2017-08-21 01:00:00,4069.13,4119.62,3911.79,4016.0,691.74306,2017-08-22 00:59:59.999,2797231.71402728,3972,557.3561070000001,2255662.55315837,11706.76997007,,,,2017-08-21,4029.135,2017-08-21,,,,,4127.204038415375,,,7392849.38327,5966241.41926,923233068448.0
5,5,5,2017-08-22 01:00:00,4016.0,4104.82,3400.0,4040.0,966.684858,2017-08-23 00:59:59.999,3752505.77214051,6494,423.99518099999995,1637188.36934226,11773.27950025,,,,2017-08-22,3890.205,2017-08-22,,,,,4077.2080668102785,,,6787387.377,5277828.94781,923233068448.0
6,6,6,2017-08-23 01:00:00,4040.0,4265.8,4013.89,4114.01,1001.136565,2017-08-24 00:59:59.999,4148686.46581968,8629,309.419092,1293567.09519463,12724.37533462,,,,2017-08-23,4108.424999999999,2017-08-23,,,,,4083.110416200846,,4099.339285714286,5749751.915019999,4084580.66396,923233068448.0
7,7,7,2017-08-24 01:00:00,4147.0,4371.68,4085.01,4316.01,787.418753,2017-08-25 00:59:59.999,3296476.41316476,6247,206.820412,868379.0641312001,14231.32630532,,,,2017-08-24,4229.925,2017-08-24,,,,,4108.488054722984,,4088.1610714285716,10230714.975,7297172.1974,923233068448.0
8,8,8,2017-08-25 01:00:00,4316.01,4453.91,4247.48,4280.68,573.61274,2017-08-26 00:59:59.999,2484637.34936327,6554,100.097974,434577.13574645,12945.43630782,,,,2017-08-25,4324.52,2017-08-25,,,,,4143.140635090128,,4109.387500000001,6929315.638160001,4459277.50765,891643263405.0
9,9,9,2017-08-26 01:00:00,4280.71,4367.0,4212.41,4337.44,228.108068,2017-08-27 00:59:59.999,977865.7333320999,2260,56.190141000000004,241363.80050245,11789.06750167,,,,2017-08-26,4299.389999999999,2017-08-26,,,,,4166.670435570719,,4142.04892857143,7153227.770769999,4459277.50765,888171856257.0
10,10,10,2017-08-27 01:00:00,4332.51,4400.0,4285.54,4310.01,350.692585,2017-08-28 00:59:59.999,1521580.06202557,3670,101.651358,442442.17937215,11456.95307303,,,,2017-08-27,4332.014999999999,2017-08-27,,,,,4190.263918565591,,4173.373571428573,7319121.60202,4635882.55746,888171856257.0
11,11,11,2017-08-28 01:00:00,4310.01,4399.82,4124.54,4386.69,603.841616,2017-08-29 00:59:59.999,2591660.52579953,4349,142.787782,612364.20611134,11075.45841897,,,,2017-08-28,4305.264999999999,2017-08-28,,,,,4205.930303680389,,4212.820714285715,9642615.80417,6843445.68006,888171856257.0
12,12,12,2017-08-29 01:00:00,4353.65,4625.85,4313.55,4587.48,603.545028,2017-08-30 00:59:59.999,2682483.73582991,4159,143.442567,641982.02068658,11050.54761867,,,,2017-08-29,4470.1325,2017-08-29,,,,,4240.504867913859,,4295.667500000001,8451775.68283,5695512.85631,888171856257.0
13,13,13,2017-08-30 01:00:00,4564.52,4647.51,4416.01,4555.14,808.468771,2017-08-31 00:59:59.999,3683714.68666123,5551,196.062252,894620.23750883,11438.9152736,,,,2017-08-30,4545.795,2017-08-30,,,,,4279.082017975557,,4358.14892857143,10384095.2116,6578538.10535,888171856257.0
